1,2,3,4,5,6,7,8,9,10
"(685, 494)","(1030, 650)","(1111, 443)","(439, 293)","(843, 296)","(184, 133)","(591, 92)","(1098, 138)","(282, 577)","(662, 294)"
"(685, 494)","(1030, 650)","(1111, 443)","(439, 293)","(844, 298)","(183, 134)","(591, 92)","(1098, 138)","(279, 578)","(662, 294)"
"(685, 494)","(1032, 649)","(1111, 446)","(439, 293)","(844, 295)","(184, 133)","(589, 91)","(1098, 138)","(279, 578)","(664, 293)"
"(685, 494)","(1030, 649)","(1111, 444)","(439, 293)","(846, 295)","(183, 133)","(589, 91)","(1098, 138)","(279, 577)","(662, 294)"
"(687, 495)","(1030, 649)","(1110, 444)","(440, 294)","(844, 299)","(183, 134)","(590, 92)","(1098, 138)","(280, 577)","(665, 295)"
"(685, 496)","(1030, 647)","(1109, 447)","(440, 292)","(845, 299)","(185, 133)","(589, 91)","(1098, 140)","(284, 578)","(666, 291)"
"(686, 497)","(1029, 645)","(1111, 446)","(442, 291)","(847, 298)","(185, 132)","(588, 91)","(1097, 139)","(286, 578)","(664, 292)"
"(690, 498)","(1028, 645)","(1108, 448)","(442, 291)","(848, 300)","(186, 132)","(588, 91)","(1099, 139)","(287, 579)","(663, 291)"
"(692, 502)","(1028, 641)","(1104, 450)","(447, 290)","(852, 303)","(188, 132)","(584, 91)","(1098, 142)","(298, 580)","(670, 291)"
"(693, 503)","(1025, 639)","(1101, 453)","(447, 289)","(853, 307)","(191, 133)","(582, 90)","(1099, 143)","(304, 582)","(669, 288)"
"(697, 506)","(1024, 636)","(1101, 455)","(453, 287)","(858, 308)","(193, 132)","(579, 90)","(1099, 145)","(316, 583)","(672, 286)"
"(700, 510)","(1022, 630)","(1095, 460)","(458, 282)","(862, 314)","(197, 132)","(577, 90)","(1101, 146)","(329, 585)","(680, 285)"
"(706, 515)","(1019, 625)","(1089, 465)","(462, 286)","(868, 319)","(201, 131)","(572, 89)","(1102, 151)","(343, 584)","(685, 279)"
"(712, 520)","(1018, 620)","(1084, 469)","(468, 279)","(872, 325)","(205, 132)","(566, 88)","(1102, 153)","(358, 588)","(688, 275)"
"(719, 528)","(1016, 611)","(1078, 476)","(476, 275)","(881, 332)","(211, 130)","(560, 87)","(1104, 158)","(373, 596)","(696, 271)"
"(726, 534)","(1011, 604)","(1073, 484)","(482, 274)","(887, 341)","(217, 129)","(555, 85)","(1106, 161)","(377, 608)","(705, 267)"
"(736, 543)","(1007, 593)","(1070, 494)","(492, 268)","(899, 349)","(224, 129)","(547, 84)","(1106, 167)","(386, 623)","(716, 256)"
"(746, 554)","(1006, 579)","(1068, 505)","(502, 261)","(910, 362)","(233, 130)","(541, 83)","(1110, 172)","(395, 639)","(723, 249)"
"(759, 558)","(1005, 566)","(1073, 518)","(516, 258)","(924, 372)","(242, 128)","(530, 83)","(1113, 180)","(407, 656)","(732, 241)"
"(776, 550)","(1004, 552)","(1083, 531)","(528, 250)","(934, 386)","(251, 127)","(519, 78)","(1114, 186)","(428, 664)","(747, 233)"
"(790, 536)","(1003, 539)","(1091, 544)","(539, 245)","(940, 406)","(264, 128)","(508, 77)","(1118, 196)","(470, 668)","(759, 222)"
"(804, 523)","(1002, 525)","(1103, 559)","(558, 238)","(935, 422)","(275, 128)","(495, 74)","(1120, 205)","(496, 690)","(777, 211)"
"(824, 507)","(994, 530)","(1114, 575)","(574, 230)","(924, 439)","(288, 129)","(482, 73)","(1123, 214)","(535, 685)","(791, 198)"
"(845, 491)","(987, 535)","(1128, 593)","(596, 217)","(908, 461)","(303, 131)","(466, 72)","(1128, 224)","(578, 669)","(812, 185)"
"(866, 472)","(980, 539)","(1142, 615)","(622, 210)","(885, 484)","(318, 136)","(461, 77)","(1131, 237)","(613, 643)","(829, 171)"
"(886, 454)","(972, 544)","(1164, 622)","(649, 203)","(863, 506)","(332, 137)","(458, 86)","(1136, 248)","(641, 615)","(848, 155)"
"(907, 435)","(964, 549)","(1189, 622)","(675, 197)","(840, 529)","(352, 136)","(453, 99)","(1140, 262)","(672, 580)","(870, 134)"
"(932, 450)","(957, 554)","(1187, 626)","(702, 190)","(835, 555)","(370, 133)","(451, 111)","(1145, 276)","(720, 550)","(896, 130)"
